date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2024-11-14,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,49,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-15,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,45,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-16,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,52,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-17,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,55,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-18,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,55,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-19,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,57,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-20,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,53,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-21,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,64,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-22,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-23,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,56,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-24,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,65,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-25,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,53,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-26,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,91,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-27,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,68,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-28,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,52,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-29,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,59,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
